fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,wine_type,quality
7.4,0.70,0.00,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,0,5
7.8,0.88,0.00,2.6,0.098,25,67,0.9968,3.20,0.68,9.8,0,5
7.8,0.76,0.04,2.3,0.092,15,54,0.9970,3.26,0.65,9.8,0,6
11.2,0.28,0.56,1.9,0.075,17,60,0.9980,3.16,0.58,9.8,0,6
7.4,0.66,0.00,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,0,5
6.6,0.16,0.40,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,1,7
6.3,0.30,0.34,1.6,0.049,14,132,0.9940,3.30,0.49,11.5,1,6
8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11.0,1,6
7.0,0.27,0.36,20.7,0.045,45,170,1.0010,3.00,0.45,8.8,1,5
6.2,0.32,0.16,7.0,0.045,30,136,0.9949,3.18,0.47,9.6,1,5
